"price","retail","ad_boost","rate","badge_ct","bg_local","bg_quality","bg_fastship","color","size","inventory","ship_price","able_country","total_invent","has_bg_urgency","origin","seller_rate_ct","seller_rate","has_seller_propic","sold_ct_3","rate5_pct","rate4_pct","rate3_pct","rate2_pct","rate1_pct"
11,10,0,3.72,0,0,0,0,"red","l",50,2,34,50,0,"CN",6302,3.95842589654078,0,"above 10K",0.408163265306122,0.211370262390671,0.187560738581147,0.0767735665694849,0.116132167152575
5,25,1,3.83,0,0,0,0,"white","s",50,1,41,50,1,"CN",139223,3.93358137664035,0,"above 10K",0.461067853170189,0.193715239154616,0.16412680756396,0.078420467185762,0.102669632925473
9,9,0,3.82,0,0,0,0,"blue","s",50,3,43,50,0,"CN",22089,4.08162433790574,0,"above 10K",0.448256981200949,0.212082496805986,0.155685344040883,0.0786639897791568,0.105311188173024
7,7,0,3.67,0,0,0,0,"red","s",7,2,41,50,1,"CN",3592,4.06236080178174,0,"between 100 and 10k",0.406542056074766,0.168224299065421,0.228971962616822,0.0794392523364486,0.116822429906542
11,10,0,3.84,0,0,0,0,"green","s",50,3,69,50,0,"CN",23609,4.25659706044305,0,"between 100 and 10k",0.427726120033812,0.231614539306847,0.182586644125106,0.0684699915469146,0.0896027049873204
5,6,0,3.6,0,0,0,0,"black","s",11,2,41,50,0,"CN",12913,3.9813366374971,1,"above 10K",0.404560810810811,0.177927927927928,0.171734234234234,0.100788288288288,0.144988738738739
11,26,0,3.38,0,0,0,0,"green","s",2,2,51,50,0,"CN",4516,4.23184233835252,0,"between 100 and 10k",0.375,0.152777777777778,0.152777777777778,0.111111111111111,0.208333333333333
7,6,1,3.67,0,0,0,0,"green","m",50,2,138,50,1,"CN",96838,4.2646585018278,0,"between 100 and 10k",0.417647058823529,0.192156862745098,0.166666666666667,0.0882352941176471,0.135294117647059
5.71,5,0,3.75,0,0,0,0,"black","xs",19,2,43,50,0,"CN",80093,4.00669222029391,0,"between 100 and 10k",0.427728613569322,0.213864306784661,0.153392330383481,0.0899705014749263,0.115044247787611
9,32,0,4.15,0,0,0,0,"green","m",50,3,41,50,0,"CN",9395,4.11005854177754,0,"between 100 and 10k",0.569664902998236,0.204585537918871,0.102292768959436,0.0493827160493827,0.0740740740740741
9,9,0,4.03,0,0,0,0,"others","m",5,3,60,50,0,"others",4298,4.22940902745463,0,"between 100 and 10k",0.486111111111111,0.222222222222222,0.180555555555556,0.0555555555555556,0.0555555555555556
5.65,5,0,4.29,1,0,1,0,"white","s",50,2,43,50,1,"CN",40943,4.01748772683975,0,"above 10K",0.594459279038718,0.209612817089453,0.124833110814419,0.0347129506008011,0.0363818424566088
1.74,2,1,4.25,0,0,0,0,"pink","xs",50,1,41,50,0,"CN",18138,3.83151394861616,0,"below 100",0.583333333333333,0.25,0.0833333333333333,0,0.0833333333333333
5.65,6,0,4.06,0,0,0,0,"white","xl",50,2,54,50,0,"CN",7034,4.06027864657378,0,"between 100 and 10k",0.518272425249169,0.232558139534884,0.112956810631229,0.0598006644518272,0.0764119601328904
14,76,0,4.06,0,0,0,0,"others","s",50,4,36,50,1,"CN",51369,3.96826880024918,1,"below 100",0.548387096774194,0.129032258064516,0.193548387096774,0.0967741935483871,0.032258064516129
5.65,6,1,4.37,1,0,1,0,"black","xs",10,2,38,50,0,"CN",44837,4.0659053906372,0,"between 100 and 10k",0.631336405529954,0.193548387096774,0.110599078341014,0.0414746543778802,0.0230414746543779
8,7,0,3.81,0,0,0,0,"others","s",4,2,46,50,0,"CN",3460,3.87080924855491,0,"between 100 and 10k",0.485327313769752,0.171557562076749,0.146726862302483,0.0654627539503386,0.130925507900677
2.66,3,0,3.44,0,0,0,0,"black","m",50,1,22,50,0,"CN",223392,4.30636280618823,0,"between 100 and 10k",0.367957746478873,0.164612676056338,0.17693661971831,0.117077464788732,0.173415492957746
9,8,0,3.8,0,0,0,0,"yellow","s",50,3,45,50,0,"CN",10600,3.86754716981132,0,"above 10K",0.45085296506905,0.194963444354184,0.17140536149472,0.0706742485783916,0.112103980503656
11,10,0,4.16,1,0,1,0,"white","s",50,3,31,50,0,"CN",13946,4.00014341029686,0,"between 100 and 10k",0.591240875912409,0.171532846715328,0.124087591240876,0.0364963503649635,0.0766423357664234
8,17,1,2.75,0,0,0,0,"blue","s",50,3,40,50,0,"CN",47981,4.02536420666514,0,"below 100",0.25,0,0.375,0,0.375
14,12,1,4.06,0,0,0,0,"blue","xs",2,3,43,50,0,"CN",80093,4.00669222029391,0,"between 100 and 10k",0.567651632970451,0.169517884914463,0.11353032659409,0.0513219284603421,0.0979782270606532
5.8,8,1,3.83,0,0,0,0,"green","xs",1,1,43,50,0,"CN",16741,3.92085299563945,0,"below 100",0.5,0.166666666666667,0.166666666666667,0,0.166666666666667
13,13,0,4.16,1,0,1,0,"pink","s",50,3,41,50,1,"CN",12913,3.9813366374971,1,"between 100 and 10k",0.594202898550725,0.195652173913043,0.072463768115942,0.0507246376811594,0.0869565217391304
9,81,0,4.26,1,0,1,0,"black","l",50,3,40,50,0,"CN",59198,4.10505422480489,0,"above 10K",0.580518753498787,0.218697518193693,0.121291285687628,0.0380668035081172,0.0414256391117746
7,68,0,1.5,0,0,0,0,"white","s",50,2,43,50,0,"CN",397,3.85894206549118,0,"below 100",0,0,0,0.5,0.5
12,14,1,3.79,0,0,0,0,"black","s",50,3,22,50,0,"CN",196,4.02040816326531,0,"below 100",0.458333333333333,0.25,0.0833333333333333,0.0416666666666667,0.166666666666667
3.69,40,0,3.53,0,0,0,0,"others","xs",2,1,24,50,1,"CN",10917,4.3648438215627,0,"below 100",0.372881355932203,0.186440677966102,0.203389830508475,0.0677966101694915,0.169491525423729
5,5,1,3.82,1,1,0,0,"white","One-sized",50,1,63,50,1,"CN",27055,4.15139530585844,0,"above 10K",0.457294264339152,0.189214463840399,0.173940149625935,0.0751246882793017,0.104426433915212
5.84,56,0,3.28,0,0,0,0,"green","s",50,1,43,50,0,"CN",40943,4.01748772683975,0,"below 100",0.305555555555556,0.111111111111111,0.305555555555556,0.111111111111111,0.166666666666667
16,14,0,3,0,0,0,0,"green","s",2,4,34,50,0,"CN",31,3.54838709677419,0,"below 100",0,0.666666666666667,0,0,0.333333333333333
13,50,0,4.03,0,0,0,0,"red","s",50,3,32,50,0,"CN",9136,4.08570490367776,1,"between 100 and 10k",0.527485380116959,0.192982456140351,0.140350877192982,0.0596491228070175,0.0795321637426901
9,8,0,3.18,0,0,0,0,"white","s",50,3,24,50,1,"CN",10474,3.90853542104258,0,"above 10K",0.300056085249579,0.162086371284352,0.192933258553001,0.106001121704992,0.238923163208076
7,6,0,3.8,0,0,0,0,"black","s",50,2,45,50,1,"CN",139607,4.21638599783678,0,"below 100",0.459016393442623,0.180327868852459,0.19672131147541,0.0327868852459016,0.131147540983607
11,20,0,3.43,0,0,0,0,"white","s",50,2,34,50,1,"CN",3120,4.17467948717949,0,"below 100",0.357142857142857,0.214285714285714,0.142857142857143,0.0714285714285714,0.214285714285714
5.84,11,0,4.19,0,0,0,0,"blue","xs",1,1,40,50,0,"CN",10377,4.17278596896984,0,"between 100 and 10k",0.55700325732899,0.231270358306189,0.11400651465798,0.0390879478827362,0.0586319218241042
1,11,1,3.8,0,0,0,0,"blue","xs",37,1,41,50,0,"CN",8197,3.85811882395999,0,"between 100 and 10k",0.6,0,0.2,0,0.2
11,60,1,3.38,0,0,0,0,"white","s",49,2,25,50,1,"CN",703,3.9601706970128,0,"between 100 and 10k",0.405405405405405,0.0810810810810811,0.243243243243243,0.027027027027027,0.243243243243243
9,8,1,4.03,0,0,0,0,"blue","l",50,3,33,50,0,"CN",16013,4.10884906013864,0,"between 100 and 10k",0.521934758155231,0.200224971878515,0.141732283464567,0.0584926884139483,0.077615298087739
6,56,1,3.5,0,0,0,0,"red","One-sized",1,2,28,50,0,"CN",13309,3.87669997745886,0,"between 100 and 10k",0.372068230277185,0.182302771855011,0.184434968017058,0.093816631130064,0.167377398720682
1,10,0,3.56,0,0,0,0,"white","xs",2,1,40,50,1,"others",91631,3.83793694273772,1,"below 100",0.423076923076923,0.153846153846154,0.173076923076923,0.0576923076923077,0.192307692307692
9,8,0,4.06,0,0,0,0,"others","s",50,3,41,50,1,"CN",20681,3.99937140370388,1,"between 100 and 10k",0.53835800807537,0.191117092866756,0.138627187079408,0.0605652759084791,0.0713324360699865
6,6,0,4,0,0,0,0,"white","xs",5,2,23,50,0,"CN",127,3.8740157480315,0,"below 100",0.625,0,0.125,0.25,0
11,68,0,4.13,0,0,0,0,"red","m",50,2,40,50,0,"CN",11597,4.21522807622661,0,"between 100 and 10k",0.568720379146919,0.175355450236967,0.146919431279621,0.037914691943128,0.0710900473933649
7,6,0,4,0,0,0,0,"blue","xs",50,2,139,50,1,"CN",34,4.35294117647059,0,"below 100",0.75,0,0,0,0.25
5,38,1,5,0,0,0,0,"others","xs",17,1,33,50,0,"CN",9,3.66666666666667,0,"below 100",1,0,0,0,0
2.72,3,1,3.1,0,0,0,0,"yellow","s",1,1,35,50,0,"CN",14482,4.00158817842839,0,"below 100",0.3,0.2,0.1,0.1,0.3
5.87,11,1,3.91,0,0,0,0,"white","s",6,1,29,50,1,"CN",6187,4.39130434782609,0,"between 100 and 10k",0.478468899521531,0.196172248803828,0.162679425837321,0.0813397129186603,0.0813397129186603
11,10,0,3.72,0,0,0,0,"white","m",50,2,25,50,0,"CN",61895,4.26800226189514,1,"between 100 and 10k",0.443452380952381,0.199404761904762,0.133928571428571,0.0803571428571429,0.142857142857143
8,10,0,2.71,0,0,0,0,"red","xs",4,3,20,50,0,"CN",224,3.89285714285714,0,"below 100",0.142857142857143,0.142857142857143,0.285714285714286,0.142857142857143,0.285714285714286
14,67,0,3.81,0,0,0,0,"blue","m",50,4,40,50,0,"CN",11900,4.15075630252101,1,"between 100 and 10k",0.449197860962567,0.213903743315508,0.149732620320856,0.0748663101604278,0.112299465240642
2,9,0,3.47,0,0,0,0,"white","xs",1,1,40,50,0,"CN",4856,4.16762767710049,0,"below 100",0.34375,0.1875,0.15625,0.21875,0.09375
8,7,1,3.93,0,0,0,0,"yellow","m",50,3,30,50,0,"CN",66644,4.13758177780445,1,"above 10K",0.492814371257485,0.203592814371257,0.149700598802395,0.0532934131736527,0.10059880239521
5.79,30,1,3.41,0,0,0,0,"white","xs",50,2,118,50,0,"CN",21012,4.18984389872454,1,"between 100 and 10k",0.344339622641509,0.231132075471698,0.108490566037736,0.117924528301887,0.19811320754717
8,22,1,3.74,0,0,0,0,"red","s",50,3,41,50,0,"CN",50593,3.87676160733698,0,"below 100",0.51063829787234,0.106382978723404,0.127659574468085,0.127659574468085,0.127659574468085
4.94,5,1,3.93,0,0,0,0,"green","m",6,1,49,50,0,"CN",55670,4.12148374348841,1,"above 10K",0.49511645379414,0.191585274229902,0.149511645379414,0.0758827948910594,0.0879038317054846
8,7,0,3.82,0,0,0,0,"others","m",50,3,14,50,1,"CN",8821,3.87200997619318,0,"above 10K",0.484126984126984,0.171825396825397,0.14484126984127,0.0805555555555556,0.118650793650794
11,10,1,3.46,0,0,0,0,"black","s",50,3,41,50,0,"CN",225438,4.30112048545498,0,"below 100",0.4,0.14,0.16,0.12,0.18
8,33,0,0,0,0,0,0,"black","s",50,2,25,50,0,"CN",1496,4.16978609625668,0,"below 100",NA,NA,NA,NA,NA
9,33,1,4.5,0,0,0,0,"white","s",50,3,41,50,0,"CN",8397,4.12028105275694,0,"below 100",0.5,0.5,0,0,0
7,6,0,4.26,0,0,0,0,"green","s",50,2,31,50,1,"CN",2055,3.83795620437956,1,"below 100",0.566037735849057,0.264150943396226,0.0943396226415094,0.0188679245283019,0.0566037735849057
11,10,0,4.24,0,0,0,0,"others","s",50,3,36,50,0,"CN",9200,4.28967391304348,0,"above 10K",0.616267942583732,0.17511961722488,0.109090909090909,0.0363636363636364,0.0631578947368421
8,92,0,3.56,0,0,0,0,"yellow","s",50,2,55,50,0,"CN",7076,3.96806105144149,0,"below 100",0.375,0.3125,0,0.125,0.1875
5.83,5,1,4.22,0,0,0,0,"white","s",1,1,35,50,0,"CN",126370,4.14695734747171,1,"above 10K",0.565450121654501,0.237469586374696,0.10316301703163,0.0403892944038929,0.0535279805352798
8,7,0,3.42,0,0,0,0,"pink","s",50,2,63,50,0,"CN",1322,3.96520423600605,0,"between 100 and 10k",0.386058981233244,0.152815013404826,0.160857908847185,0.0938337801608579,0.206434316353887
5.77,5,1,4,0,0,0,0,"green","s",45,1,31,50,1,"CN",8996,3.91574032903513,0,"below 100",0.25,0.5,0.25,0,0
5.9,5,0,3.64,0,0,0,0,"others","xs",4,1,30,50,0,"CN",2366,3.95181741335587,0,"above 10K",0.448525607863425,0.154164511122607,0.154681841696844,0.0781169167097776,0.164511122607346
6,20,0,3.08,0,0,0,0,"red","s",50,2,43,50,0,"CN",2776,3.93119596541787,0,"below 100",0.307692307692308,0.153846153846154,0.153846153846154,0.0769230769230769,0.307692307692308
7,6,1,4.41,1,0,1,0,"green","m",2,2,35,50,0,"CN",126370,4.14695734747171,1,"above 10K",0.662004127493694,0.182928227470764,0.0935565237330887,0.0290644347626691,0.0324466865397845
8,7,1,3.7,0,0,0,0,"pink","m",1,2,48,50,0,"CN",4178,3.93752991862135,0,"above 10K",0.422364672364672,0.198005698005698,0.165242165242165,0.0883190883190883,0.126068376068376
12,11,0,3.81,0,0,0,0,"green","s",50,3,13,50,0,"CN",2248,4.15035587188612,0,"between 100 and 10k",0.478005865102639,0.18475073313783,0.140762463343109,0.06158357771261,0.134897360703812
5.78,8,1,4,0,0,0,0,"pink","xs",50,1,29,50,0,"CN",6555,4.18413424866514,0,"above 10K",0.516729559748428,0.194716981132075,0.144905660377358,0.0608805031446541,0.0827672955974843
12,17,0,3.94,0,0,0,0,"white","s",50,3,43,50,0,"CN",1288,3.97826086956522,0,"between 100 and 10k",0.488372093023256,0.196382428940568,0.17312661498708,0.0542635658914729,0.0878552971576227
11,10,1,4.07,0,0,0,0,"others","l",50,2,35,50,0,"CN",12974,3.9657006320333,0,"above 10K",0.53257328990228,0.209120521172638,0.127687296416938,0.0576547231270358,0.0729641693811075
8,51,0,4.29,1,0,1,0,"pink","s",50,2,43,50,0,"CN",5846,3.83253506671228,0,"below 100",0.612903225806452,0.161290322580645,0.161290322580645,0.032258064516129,0.032258064516129
11,10,1,3.46,0,0,0,0,"black","s",50,3,41,50,1,"CN",225438,4.30112048545498,0,"below 100",0.4,0.14,0.16,0.12,0.18
5.77,48,0,4.1,0,0,0,0,"black","xs",50,2,46,50,0,"CN",330405,4.06734764909732,1,"above 10K",0.539143848823756,0.200154261473197,0.140715387581951,0.0565946779791747,0.0633918241419206
9,8,0,3.7,0,0,0,0,"others","m",44,3,20,50,0,"CN",15748,4.06464312928626,0,"above 10K",0.451832460732984,0.171204188481675,0.14869109947644,0.0848167539267016,0.143455497382199
1.72,2,1,3.77,0,0,0,0,"green","xs",10,1,48,50,0,"CN",32168,3.88454364585924,0,"below 100",0.5,0.1,0.166666666666667,0.133333333333333,0.1
1.86,9,1,3.57,0,0,0,0,"pink","xs",2,1,40,50,1,"CN",7248,3.94301876379691,0,"below 100",0.404761904761905,0.214285714285714,0.0952380952380952,0.119047619047619,0.166666666666667
14,92,1,4.54,0,0,0,0,"black","xs",50,3,36,50,0,"CN",54,4.18518518518519,0,"below 100",0.769230769230769,0.153846153846154,0,0,0.0769230769230769
3.69,4,0,3.64,0,0,0,0,"red","xs",5,1,24,50,0,"CN",1559,4.03912764592688,0,"between 100 and 10k",0.44811320754717,0.155660377358491,0.150943396226415,0.0754716981132075,0.169811320754717
5.79,42,0,3.32,0,0,0,0,"red","s",50,2,43,50,1,"CN",5083,3.94747196537478,0,"between 100 and 10k",0.297520661157025,0.198347107438017,0.190082644628099,0.15702479338843,0.15702479338843
11,30,1,4.11,2,1,0,1,"others","One-sized",2,3,45,50,0,"CN",9541,4.21046011948433,0,"below 100",0.607142857142857,0.142857142857143,0.107142857142857,0.0357142857142857,0.107142857142857
9,8,1,3.18,0,0,0,0,"red","s",10,3,26,50,0,"CN",288,3.72916666666667,0,"below 100",0.236111111111111,0.263888888888889,0.166666666666667,0.111111111111111,0.222222222222222
6,8,0,3.96,0,0,0,0,"black","l",50,2,43,50,0,"CN",54504,3.80168428005284,1,"above 10K",0.511958146487294,0.192077727952167,0.139760837070254,0.0538116591928251,0.102391629297459
20,17,1,2.8,0,0,0,0,"green","s",50,6,36,50,0,"CN",67,3.29850746268657,0,"below 100",0.133333333333333,0.2,0.333333333333333,0,0.333333333333333
5.66,5,0,3.89,0,0,0,0,"black","s",50,2,42,50,1,"CN",99283,4.28559773576544,0,"between 100 and 10k",0.48062015503876,0.208440999138674,0.136950904392765,0.0645994832041344,0.109388458225668
8,65,0,3.97,0,0,0,0,"white","s",1,2,33,50,0,"CN",239,3.88284518828452,0,"below 100",0.620689655172414,0.0344827586206897,0.172413793103448,0.0344827586206897,0.137931034482759
8,7,1,3.61,0,0,0,0,"yellow","xs",10,2,39,50,0,"CN",40616,4.09855721883002,0,"between 100 and 10k",0.380239520958084,0.232035928143713,0.152694610778443,0.0913173652694611,0.143712574850299
6,6,1,3.82,0,0,0,0,"others","s",1,2,35,50,0,"CN",670,3.84477611940299,0,"between 100 and 10k",0.462686567164179,0.194029850746269,0.171641791044776,0.0447761194029851,0.126865671641791
11,10,0,3.96,0,0,0,0,"black","s",50,3,23,50,0,"CN",4610,4.2527114967462,0,"between 100 and 10k",0.477506426735219,0.217223650385604,0.165809768637532,0.070694087403599,0.0687660668380463
7,6,1,4.2,0,0,0,0,"white","xs",3,2,26,50,0,"CN",247,3.94331983805668,0,"between 100 and 10k",0.616822429906542,0.121495327102804,0.168224299065421,0.0280373831775701,0.0654205607476635
11,10,0,3.77,0,0,0,0,"red","xs",50,3,31,50,0,"CN",13946,4.00014341029686,0,"above 10K",0.427981109799292,0.221959858323495,0.160566706021251,0.0661157024793388,0.123376623376623
5.81,30,0,2.61,0,0,0,0,"green","xs",3,2,41,50,1,"CN",26473,3.8947606995807,0,"below 100",0.166666666666667,0.111111111111111,0.277777777777778,0.0555555555555556,0.388888888888889
14,12,0,3.93,0,0,0,0,"blue","xl",36,4,26,50,1,"CN",32858,3.88553776857995,0,"above 10K",0.48438560760353,0.208418194161575,0.153428377460964,0.0610997963340122,0.0926680244399185
5,51,0,0,0,0,0,0,"black","xs",1,1,36,50,0,"CN",295,3.98983050847458,0,"below 100",NA,NA,NA,NA,NA
5,5,1,4.3,0,0,0,0,"black","xs",3,2,22,50,0,"CN",10799,4.16797851652931,0,"below 100",0.6,0.2,0.1,0.1,0
11,10,0,4.12,0,0,0,0,"others","s",50,2,21,50,0,"CN",8989,3.85193013683391,1,"between 100 and 10k",0.57429718875502,0.192771084337349,0.0963855421686747,0.0481927710843374,0.0883534136546185
12,67,0,3.67,0,0,0,0,"pink","xs",20,3,32,50,0,"CN",238,4.00840336134454,0,"below 100",0.666666666666667,0,0,0,0.333333333333333
5.68,5,0,4.5,0,0,0,0,"others","One-sized",50,2,109,50,0,"CN",160,4.5125,1,"below 100",0.5,0.5,0,0,0
11,10,1,4,0,0,0,0,"black","s",50,2,32,50,0,"others",546,4.01465201465201,0,"below 100",0.583333333333333,0.0833333333333333,0.166666666666667,0.0833333333333333,0.0833333333333333
17,15,0,4.16,1,0,1,0,"others","s",50,5,52,50,0,"CN",12881,4.35261237481562,1,"above 10K",0.586184210526316,0.185855263157895,0.109210526315789,0.0404605263157895,0.0782894736842105
7,43,0,3.71,0,0,0,0,"others","s",9,2,40,50,0,"CN",9078,3.87816699713593,0,"below 100",0.476190476190476,0.238095238095238,0,0.0952380952380952,0.19047619047619
12,85,1,4.75,0,0,0,0,"green","s",18,3,35,50,0,"CN",57,4.17543859649123,0,"below 100",0.75,0.25,0,0,0
7,6,0,5,0,0,0,0,"black","s",50,2,41,50,0,"CN",9703,3.97073070184479,0,"below 100",1,0,0,0,0
7,33,0,3,0,0,0,0,"blue","s",50,2,41,50,0,"CN",25222,4.00154626913012,0,"below 100",0,0.5,0,0.5,0
11,59,0,4.11,0,0,0,0,"yellow","m",50,2,41,50,0,"CN",6715,4.05718540580789,1,"between 100 and 10k",0.555555555555556,0.177777777777778,0.140740740740741,0.0740740740740741,0.0518518518518519
12,43,0,3.59,0,0,0,0,"pink","m",50,3,42,50,0,"CN",3237,3.94840902069818,0,"below 100",0.259259259259259,0.333333333333333,0.259259259259259,0.037037037037037,0.111111111111111
13,51,0,3.61,0,0,0,0,"yellow","s",50,3,43,50,1,"CN",17244,3.946416144746,0,"between 100 and 10k",0.464566929133858,0.125984251968504,0.15748031496063,0.0551181102362205,0.196850393700787
2.72,9,0,0,0,0,0,0,"others","xs",1,1,33,50,0,"CN",378,3.5978835978836,0,"below 100",NA,NA,NA,NA,NA
6,6,1,3.99,0,0,0,0,"green","l",50,2,33,50,0,"CN",16013,4.10884906013864,0,"above 10K",0.505625,0.20125,0.14875,0.0625,0.081875
9,56,1,4.03,0,0,0,0,"black","xs",3,3,19,50,0,"others",49,3.71428571428571,0,"below 100",0.566666666666667,0.2,0.0666666666666667,0.0333333333333333,0.133333333333333
5,5,0,5,0,0,0,0,"yellow","xs",5,2,47,50,0,"CN",4,3.75,0,"below 100",1,0,0,0,0
5.86,5,0,3.73,0,0,0,0,"white","xs",6,1,30,50,0,"CN",9308,3.99301675977654,0,"between 100 and 10k",0.473333333333333,0.153333333333333,0.153333333333333,0.0733333333333333,0.146666666666667
2,2,1,3.99,0,0,0,0,"green","s",1,1,23,50,0,"CN",12309,4.04517020066618,1,"above 10K",0.530612244897959,0.183673469387755,0.122448979591837,0.0683673469387755,0.0948979591836735
7,6,0,4.38,1,0,1,0,"others","xs",8,2,41,50,1,"CN",130598,3.94679091563424,0,"between 100 and 10k",0.656626506024096,0.178714859437751,0.0943775100401606,0.0321285140562249,0.0381526104417671
5.66,6,0,3.08,0,0,0,0,"black","s",50,2,35,50,0,"CN",2782,4.06901509705248,0,"below 100",0.230769230769231,0.230769230769231,0.230769230769231,0,0.307692307692308
13,17,0,4.11,0,0,0,0,"pink","xs",6,3,43,50,1,"CN",4571,3.910741632028,0,"between 100 and 10k",0.568181818181818,0.189393939393939,0.111111111111111,0.0441919191919192,0.0871212121212121
8,7,1,3.6,0,0,0,0,"yellow","l",27,3,28,50,0,"CN",88193,4.08089077364417,1,"between 100 and 10k",0.398724082934609,0.192185007974482,0.165071770334928,0.100478468899522,0.143540669856459
11,10,1,3.78,0,0,0,0,"others","One-sized",5,3,35,50,0,"CN",433,3.89607390300231,0,"between 100 and 10k",0.40133779264214,0.244147157190635,0.183946488294314,0.0735785953177258,0.096989966555184
8,7,0,4.05,0,0,0,0,"black","s",50,2,31,50,1,"CN",19221,4.16809739347589,0,"above 10K",0.521114106019766,0.220575022461815,0.125898472596586,0.0553683737646002,0.0770440251572327
16,76,1,3.53,0,0,0,0,"red","s",50,5,58,50,0,"CN",1088,4.27205882352941,1,"below 100",0.394736842105263,0.236842105263158,0.0526315789473684,0.131578947368421,0.184210526315789
11,10,0,4.6,0,0,0,0,"others","One-sized",12,3,42,50,0,"CN",38936,4.12299671255393,1,"below 100",0.6,0.4,0,0,0
11,10,0,3.72,0,0,0,0,"white","m",50,2,25,50,1,"CN",61895,4.26800226189514,1,"between 100 and 10k",0.443452380952381,0.199404761904762,0.133928571428571,0.0803571428571429,0.142857142857143
8,7,0,4.16,1,0,1,0,"black","s",50,2,32,50,0,"CN",43676,4.28361113655097,0,"above 10K",0.569387755102041,0.193294460641399,0.12667638483965,0.05,0.0606413994169096
14,12,1,4.04,0,0,0,0,"blue","m",50,4,41,50,0,"CN",26473,3.8947606995807,0,"between 100 and 10k",0.555093555093555,0.178794178794179,0.124740124740125,0.0374220374220374,0.103950103950104
7,6,0,3.6,0,0,0,0,"black","s",50,2,127,50,0,"CN",483,4.15527950310559,0,"below 100",0.4,0.16,0.2,0.12,0.12
12,11,1,3.89,0,0,0,0,"pink","l",25,3,50,50,0,"CN",59903,4.15366509189857,1,"above 10K",0.479075850043592,0.195727986050567,0.157802964254577,0.0671316477768091,0.100261551874455
7,50,0,3.49,0,0,0,0,"green","s",50,2,132,50,0,"CN",1290,4.01162790697674,0,"between 100 and 10k",0.326530612244898,0.224489795918367,0.204081632653061,0.102040816326531,0.142857142857143
